날짜,지역,상품아이디,일일판매량,가격,프로모션,온도,강수량,브랜드,상품이름,재고,재고--,판매량,수요
2024-10-01,Seoul,CU_J001,29,3000,0,9.1,0.32,CU,군고구마,100,71,23.45185185,high demand
2024-10-02,Seoul,CU_J001,29,2500,0,9.4,0.43,CU,군고구마,71,42,23.45185185,high demand
2024-10-03,Seoul,CU_J001,17,3000,0,8.7,3.37,CU,군고구마,42,105,23.45185185,low demand
2024-10-04,Seoul,CU_J001,25,2500,0,-6.0,0.13,CU,군고구마,105,80,23.45185185,average
2024-10-05,Seoul,CU_J001,24,2500,0,10.9,2.12,CU,군고구마,80,56,23.45185185,average
2024-10-06,Seoul,CU_J001,22,2500,0,24.0,2.01,CU,군고구마,56,34,23.45185185,average
2024-10-07,Seoul,CU_J001,16,3000,0,7.5,4.99,CU,군고구마,34,98,23.45185185,low demand
2024-10-08,Seoul,CU_J001,35,2500,0,11.0,2.07,CU,군고구마,98,63,23.45185185,high demand
2024-10-09,Seoul,CU_J001,14,3000,0,5.6,3.53,CU,군고구마,63,49,23.45185185,low demand
2024-10-10,Seoul,CU_J001,38,3000,0,16.9,2.64,CU,군고구마,49,91,23.45185185,high demand
2024-10-11,Seoul,CU_J001,18,2500,0,14.7,1.49,CU,군고구마,91,73,23.45185185,low demand
2024-10-12,Seoul,CU_J001,35,3000,0,4.3,3.35,CU,군고구마,73,38,23.45185185,high demand
2024-10-13,Seoul,CU_J001,15,2500,1,-3.7,1.75,CU,군고구마,38,103,23.45185185,low demand
2024-10-14,Seoul,CU_J001,19,2500,0,21.6,4.17,CU,군고구마,103,84,23.45185185,low demand
2024-10-15,Seoul,CU_J001,26,2500,0,14.1,1.81,CU,군고구마,84,58,23.45185185,high demand
2024-10-16,Seoul,CU_J001,24,2500,0,12.2,2.17,CU,군고구마,58,34,23.45185185,average
2024-10-17,Seoul,CU_J001,15,2000,0,4.4,1.33,CU,군고구마,34,99,23.45185185,low demand
2024-10-18,Seoul,CU_J001,26,2500,1,10.2,1.79,CU,군고구마,99,73,23.45185185,high demand
2024-10-19,Seoul,CU_J001,15,2000,0,4.6,0.77,CU,군고구마,73,58,23.45185185,low demand
2024-10-20,Seoul,CU_J001,28,2500,0,12.8,1.72,CU,군고구마,58,110,23.45185185,high demand
2024-10-21,Seoul,CU_J001,14,3000,0,6.7,3.89,CU,군고구마,110,96,23.45185185,low demand
2024-10-22,Seoul,CU_J001,20,3000,1,14.9,1.19,CU,군고구마,96,76,23.45185185,low demand
