날짜,지역,상품아이디,일일판매량,가격,프로모션,온도,강수량,브랜드,상품이름,재고,재고--,판매량,수요
2024-10-01,Seoul,CU_T001,29,3700,0,-5.2,1.8,CU,삼각김밥,100,71,22.44814815,high demand
2024-10-02,Seoul,CU_T001,20,3700,0,-2.2,1.26,CU,삼각김밥,71,51,22.44814815,low demand
2024-10-03,Seoul,CU_T001,18,3700,0,-7.8,0.66,CU,삼각김밥,51,33,22.44814815,low demand
2024-10-04,Seoul,CU_T001,17,3700,0,0.4,0.89,CU,삼각김밥,33,96,22.44814815,low demand
2024-10-05,Seoul,CU_T001,37,3700,0,-3.8,0.65,CU,삼각김밥,96,59,22.44814815,high demand
2024-10-06,Seoul,CU_T001,28,3700,0,-1.9,1.37,CU,삼각김밥,59,31,22.44814815,high demand
2024-10-07,Seoul,CU_T001,16,3700,0,-4.8,1.94,CU,삼각김밥,31,95,22.44814815,low demand
2024-10-08,Seoul,CU_T001,22,3700,0,-4.8,0.4,CU,삼각김밥,95,73,22.44814815,average
2024-10-09,Seoul,CU_T001,17,3700,0,-3.3,0.0,CU,삼각김밥,73,56,22.44814815,low demand
2024-10-10,Seoul,CU_T001,20,3700,0,-6.3,2.89,CU,삼각김밥,56,36,22.44814815,low demand
2024-10-11,Seoul,CU_T001,20,3700,0,-4.4,0.0,CU,삼각김밥,36,96,22.44814815,low demand
2024-10-12,Seoul,CU_T001,25,3700,0,-6.0,1.01,CU,삼각김밥,96,71,22.44814815,high demand
2024-10-13,Seoul,CU_T001,19,3700,0,-0.7,2.79,CU,삼각김밥,71,52,22.44814815,low demand
2024-10-14,Seoul,CU_T001,22,3700,0,-6.0,1.61,CU,삼각김밥,52,110,22.44814815,average
2024-10-15,Seoul,CU_T001,25,3700,0,-0.8,2.4,CU,삼각김밥,110,85,22.44814815,high demand
2024-10-16,Seoul,CU_T001,19,3700,0,-1.6,1.1,CU,삼각김밥,85,66,22.44814815,low demand
2024-10-17,Seoul,CU_T001,22,3700,0,-1.8,0.0,CU,삼각김밥,66,44,22.44814815,average
2024-10-18,Seoul,CU_T001,31,3700,0,-0.6,2.01,CU,삼각김밥,44,93,22.44814815,high demand
2024-10-19,Seoul,CU_T001,27,3700,0,-1.4,0.34,CU,삼각김밥,93,66,22.44814815,high demand
2024-10-20,Seoul,CU_T001,22,3700,0,1.5,1.56,CU,삼각김밥,66,44,22.44814815,average
2024-10-21,Seoul,CU_T001,29,3700,0,-2.9,0.9,CU,삼각김밥,44,95,22.44814815,high demand
2024-10-22,Seoul,CU_T001,28,3700,0,-3.6,1.41,CU,삼각김밥,95,67,22.44814815,high demand
2024-10-23,Seoul,CU_T001,21,3700,0,-2.6,0.13,CU,삼각김밥,67,46,22.44814815,average
2024-10-24,Seoul,CU_T001,22,3700,0,-6.2,0.42,CU,삼각김밥,46,104,22.44814815,average
