날짜,지역,상품아이디,일일판매량,가격,프로모션,온도,강수량,브랜드,상품이름,재고,재고--,판매량,수요
2024-10-01,Seoul,CU_J002,39,4500,0,7.8,1.67,CU,우산,100,61,24.6,high demand
2024-10-02,Seoul,CU_J002,35,4000,0,17.1,2.92,CU,우산,61,106,24.6,high demand
2024-10-03,Seoul,CU_J002,10,4500,1,14.8,3.03,CU,우산,106,96,24.6,low demand
2024-10-04,Seoul,CU_J002,20,4500,0,20.2,2.82,CU,우산,96,76,24.6,low demand
2024-10-05,Seoul,CU_J002,33,4000,0,24.2,2.78,CU,우산,76,43,24.6,high demand
2024-10-06,Seoul,CU_J002,29,4000,0,11.1,1.16,CU,우산,43,94,24.6,high demand
2024-10-07,Seoul,CU_J002,29,4500,0,19.3,0.64,CU,우산,94,65,24.6,high demand
2024-10-08,Seoul,CU_J002,23,4500,0,24.4,3.6,CU,우산,65,42,24.6,average
2024-10-09,Seoul,CU_J002,20,4000,0,7.6,2.43,CU,우산,42,102,24.6,low demand
2024-10-10,Seoul,CU_J002,10,5000,0,33.1,3.08,CU,우산,102,92,24.6,low demand
2024-10-11,Seoul,CU_J002,21,5000,0,23.6,2.34,CU,우산,92,71,24.6,low demand
2024-10-12,Seoul,CU_J002,30,4000,0,22.1,2.67,CU,우산,71,41,24.6,high demand
2024-10-13,Seoul,CU_J002,38,4500,0,19.9,1.68,CU,우산,41,83,24.6,high demand
2024-10-14,Seoul,CU_J002,23,4500,0,22.7,3.18,CU,우산,83,60,24.6,average
2024-10-15,Seoul,CU_J002,25,4000,0,15.7,2.11,CU,우산,60,35,24.6,average
2024-10-16,Seoul,CU_J002,20,4000,0,17.2,2.07,CU,우산,35,95,24.6,low demand
2024-10-17,Seoul,CU_J002,19,4000,0,23.2,0.42,CU,우산,95,76,24.6,low demand
2024-10-18,Seoul,CU_J002,38,5000,0,29.5,4.23,CU,우산,76,38,24.6,high demand
2024-10-19,Seoul,CU_J002,28,4500,0,25.2,4.95,CU,우산,38,90,24.6,high demand
2024-10-20,Seoul,CU_J002,13,4500,1,24.7,1.44,CU,우산,90,77,24.6,low demand
2024-10-21,Seoul,CU_J002,13,4000,0,16.5,2.85,CU,우산,77,64,24.6,low demand
2024-10-22,Seoul,CU_J002,31,5000,0,10.6,3.61,CU,우산,64,33,24.6,high demand
2024-10-23,Seoul,CU_J002,21,5000,0,18.1,0.96,CU,우산,33,92,24.6,low demand
2024-10-24,Seoul,CU_J002,21,4500,0,10.0,3.16,CU,우산,92,71,24.6,low demand
2024-10-25,Seoul,CU_J002,17,5000,0,27.8,2.57,CU,우산,71,54,24.6,low demand
2024-10-26,Seoul,CU_J002,30,4000,0,21.3,3.14,CU,우산,54,104,24.6,high demand
2024-10-27,Seoul,CU_J002,17,4000,0,24.6,0.1,CU,우산,104,87,24.6,low demand
2024-10-28,Seoul,CU_J002,34,5000,0,7.9,4.06,CU,우산,87,53,24.6,high demand
2024-10-29,Seoul,CU_J002,23,5000,0,21.4,4.61,CU,우산,53,110,24.6,average
2024-10-30,Seoul,CU_J002,33,4500,0,19.0,0.94,CU,우산,110,77,24.6,high demand
2024-10-31,Seoul,CU_J002,32,4000,0,10.4,3.9,CU,우산,77,45,24.6,high demand
2024-11-01,Seoul,CU_J002,22,5000,0,20.6,1.55,CU,우산,45,103,24.6,low demand
2024-11-02,Seoul,CU_J002,19,4500,0,18.9,1.84,CU,우산,103,84,24.6,low demand
2024-11-03,Seoul,CU_J002,18,4500,0,16.2,2.25,CU,우산,84,66,24.6,low demand
2024-11-04,Seoul,CU_J002,11,5000,0,16.7,1.8,CU,우산,66,55,24.6,low demand
2024-11-05,Seoul,CU_J002,35,5000,0,15.7,0.79,CU,우산,55,100,24.6,high demand
2024-11-06,Seoul,CU_J002,34,5000,0,20.8,1.91,CU,우산,100,66,24.6,high demand
2024-11-07,Seoul,CU_J002,27,4000,0,14.2,4.21,CU,우산,66,39,24.6,average
2024-11-08,Seoul,CU_J002,24,4500,0,1.7,4.71,CU,우산,39,95,24.6,average
2024-11-09,Seoul,CU_J002,12,5000,0,13.7,2.78,CU,우산,95,83,24.6,low demand
2024-11-10,Seoul,CU_J002,23,5000,0,34.6,0.34,CU,우산,83,60,24.6,average
2024-11-11,Seoul,CU_J002,31,4500,0,21.2,2.52,CU,우산,60,109,24.6,high demand
2024-11-12,Seoul,CU_J002,18,4000,0,13.7,2.9,CU,우산,109,91,24.6,low demand
2024-11-13,Seoul,CU_J002,35,4000,0,33.4,4.14,CU,우산,91,56,24.6,high demand
2024-11-14,Seoul,CU_J002,34,4500,0,25.2,0.56,CU,우산,56,102,24.6,high demand
2024-11-15,Seoul,CU_J002,31,4500,0,30.4,0.4,CU,우산,102,71,24.6,high demand
2024-11-16,Seoul,CU_J002,30,4000,0,25.9,3.59,CU,우산,71,41,24.6,high demand
2024-11-17,Seoul,CU_J002,13,4500,0,31.0,2.69,CU,우산,41,108,24.6,low demand
2024-11-18,Seoul,CU_J002,34,5000,0,30.1,1.56,CU,우산,108,74,24.6,high demand
2024-11-19,Seoul,CU_J002,10,4500,0,16.9,0.81,CU,우산,74,64,24.6,low demand
2024-11-20,Seoul,CU_J002,37,4500,0,19.0,3.51,CU,우산,64,107,24.6,high demand
2024-11-21,Seoul,CU_J002,18,4500,0,18.6,3.13,CU,우산,107,89,24.6,low demand
2024-11-22,Seoul,CU_J002,38,5000,0,17.3,0.97,CU,우산,89,51,24.6,high demand
2024-11-23,Seoul,CU_J002,10,4500,0,22.9,0.97,CU,우산,51,41,24.6,low demand
2024-11-24,Seoul,CU_J002,31,4500,0,18.8,2.98,CU,우산,41,90,24.6,high demand
2024-11-25,Seoul,CU_J002,17,4000,1,20.8,0.05,CU,우산,90,73,24.6,low demand
2024-11-26,Seoul,CU_J002,23,4500,1,18.2,4.26,CU,우산,73,50,24.6,average
2024-11-27,Seoul,CU_J002,34,5000,0,25.6,3.39,CU,우산,50,96,24.6,high demand
2024-11-28,Seoul,CU_J002,38,4500,0,22.8,1.56,CU,우산,96,58,24.6,high demand
2024-11-29,Seoul,CU_J002,20,4000,0,18.4,2.15,CU,우산,58,38,24.6,low demand
2024-11-30,Seoul,CU_J002,34,5000,0,11.4,4.1,CU,우산,38,84,24.6,high demand
2024-12-01,Seoul,CU_J002,20,4000,1,20.6,0.42,CU,우산,84,64,24.6,low demand
2024-12-02,Seoul,CU_J002,39,5000,0,13.2,2.48,CU,우산,64,105,24.6,high demand
2024-12-03,Seoul,CU_J002,14,5000,0,12.5,1.23,CU,우산,105,91,24.6,low demand
2024-12-04,Seoul,CU_J002,29,4000,0,12.2,1.46,CU,우산,91,62,24.6,high demand
2024-12-05,Seoul,CU_J002,17,4000,0,22.6,4.11,CU,우산,62,45,24.6,low demand
2024-12-06,Seoul,CU_J002,37,4000,0,17.1,4.68,CU,우산,45,88,24.6,high demand
2024-12-07,Seoul,CU_J002,25,4500,1,16.9,0.84,CU,우산,88,63,24.6,average
2024-12-08,Seoul,CU_J002,23,4000,0,17.3,1.32,CU,우산,63,40,24.6,average
2024-12-09,Seoul,CU_J002,29,4000,0,14.5,1.97,CU,우산,40,91,24.6,high demand
